'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-11','108',' 서교동 사거리','정기','F','~10대',5,267.66,2.14,9240,112
'2017-11','503',' 더샵스타시티 C동 앞','정기','F','~10대',1,0,0,0,31
'2017-11','504',' 신자초교입구교차로','정기','F','~10대',2,105.73,0.82,3560,35
'2017-11','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',1,31.4,0.28,1220,19
'2017-11','1031',' 암사동 CBIS','정기','F','~10대',6,192.05,1.92,8220,59
'2017-11','1032',' 선사고등학교','정기','F','~10대',4,144.6,1.27,5450,51
'2017-11','1033',' 고덕동 아남아파트','정기','F','~10대',11,965.28,8.9,38380,299
'2017-11','1036',' 고덕동 주양쇼핑','정기','F','~10대',5,520.2,4.69,20210,107
'2017-11','1042','5단지 사이','정기','F','~10대',2,49.94,0.45,1940,29
'2017-11','509',' 이마트 버스정류소 옆','정기','F','~10대',5,90.32,1.11,4780,76
'2017-11','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',2,119.68,1.35,5810,75
'2017-11','1253',' 오금역 3번 출구 뒤','정기','F','~10대',1,63.32,0.57,2460,41
'2017-11','1259',' 방이역 1번출구','정기','F','~10대',1,26,0.23,1010,8
'2017-11','511',' 서울숲역 4번 출구 옆','정기','F','~10대',4,340.8,3.07,13240,72
'2017-11','1269',' 리센츠아파트 ','정기','F','~10대',1,23.32,0.22,950,7
'2017-11','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',12,797.9,7.34,31660,202
'2017-11','109',' 제일빌딩 앞','정기','F','~10대',2,163.65,1.66,7170,114
'2017-11','1527',' 미아역 1번 출구 뒤','정기','F','~10대',1,12.4,0.08,360,1
'2017-11','1530',' 광산사거리','정기','F','~10대',1,33.66,0.39,1700,15
'2017-11','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',4,251.86,2.39,10330,85
'2017-11',,,'정기','F','~10대',1,74.61,0.73,3140,25
'2017-11','514',' 성수사거리 버스정류장 앞','정기','F','~10대',4,167.85,1.52,6560,46
'2017-11','1655',' 공릉1단지아파트','정기','F','~10대',1,67.95,0.61,2640,34
'2017-11','515',' 광양중학교 앞','정기','F','~10대',3,356.26,3.08,13230,64
'2017-11','516',' 광진메디칼 앞','정기','F','~10대',4,321.36,2.9,12500,74
'2017-11','300',' 정동사거리','정기','F','~10대',8,367.43,3.15,13570,95
'2017-11','301',' 경복궁역 7번출구 앞','정기','F','~10대',13,554.51,5.06,21800,148
'2017-11','302',' 경복궁역 4번출구 뒤','정기','F','~10대',2,67.41,0.71,3040,50
'2017-11','115',' 사루비아 빌딩 앞','정기','F','~10대',1,105.02,0.9,3900,37
'2017-11','304',' 광화문역 2번출구 앞','정기','F','~10대',1,33.72,0.3,1310,9
'2017-11','1338',' 용문2교 옆','정기','F','~10대',1,195.98,1.64,7070,66
'2017-11','305',' 종로구청 옆','정기','F','~10대',19,462.6,4.85,20860,201
'2017-11','306',' 광화문역 7번출구 앞','정기','F','~10대',2,61.19,0.52,2230,28
'2017-11','310',' 청계광장 옆','정기','F','~10대',5,111.43,1.05,4510,36
'2017-11','311',' 서울광장 옆','정기','F','~10대',1,102.45,0.92,3980,34
'2017-11','312',' 시청역 1번출구 뒤','정기','F','~10대',7,141.1,1.2,5160,39
