'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'201701','503',' 더샵스타시티 C동 앞','정기','F','~10대',7,389.44,3.51,15130,105
'201701','509',' 이마트 버스정류소 옆','정기','F','~10대',2,239.5,2.33,10080,58
'201701','300',' 정동사거리','정기','F','~10대',2,370.93,2.68,11580,108
'201701','301',' 경복궁역 7번출구 앞','정기','F','~10대',3,140.03,1.26,5440,80
'201701','304',' 광화문역 2번출구 앞','정기','F','~10대',1,28.1,0.3,1290,11
'201701','313',' 서울역 광장 파출소 옆','정기','F','~10대',1,47.46,0.5,2140,12
'201701','110',' 사천교','정기','F','~10대',3,194.93,1.58,6800,63
'201701','315',' 신한은행 안국역지점 옆','정기','F','~10대',1,30.06,0.32,1380,12
'201701','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,11.98,0.13,550,6
'201701','324',' 신세계백화점 본점 앞','정기','F','~10대',2,107.52,0.78,3360,47
'201701','326',' 안국역 5번출구 앞','정기','F','~10대',1,53.06,0.62,2680,19
'201701','328',' 탑골공원 앞','정기','F','~10대',1,38.25,0.37,1610,9
'201701','339',' 종로4가 사거리','정기','F','~10대',5,200.97,2.02,8750,94
'201701','340',' 혜화동 로터리','정기','F','~10대',1,56.03,0.66,2830,19
'201701','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',7,301.11,3.03,13110,104
'201701','349',' 사직동주민센터','정기','F','~10대',4,173.8,1.85,7980,56
'201701','352',' 중앙고입구 삼거리','정기','F','~10대',1,26.61,0.26,1120,5
'201701','353',' 재동초교 앞 삼거리','정기','F','~10대',3,144.73,1.69,7310,52
'201701','117',' 홍은사거리','정기','F','~10대',6,807.43,9.27,39980,224
'201701','355',' 서울사대부속초교 앞','정기','F','~10대',3,50.25,0.48,2070,24
'201701','358',' 성대입구 사거리','정기','F','~10대',12,284.58,3.47,14970,63
'201701','359',' 원남동사거리','정기','F','~10대',12,238.57,2.91,12550,79
'201701','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',3,107.94,1.09,4700,33
'201701','113',' 홍대입구역 2번출구 앞','정기','F','~10대',6,470.53,4.34,18750,203
'201701','369',' 광화문 시민열린마당','정기','F','~10대',1,36.63,0.43,1850,15
'201701','371',' 동대입구역 6번출구 뒤','정기','F','~10대',1,59.88,0.44,1890,20
'201701','381',' 장충체육관','정기','F','~10대',1,15.21,0.11,480,6
'201701','382',' 약수역 10번출구 앞','정기','F','~10대',1,33.58,0.25,1060,11
'201701','114',' 홍대입구역 8번출구 앞','정기','F','~10대',4,139.79,1.64,7060,61
'201701','152',' 마포구민체육센터 앞','정기','F','~10대',2,302.79,2.2,9440,111
'201701','153',' 성산2교 사거리','정기','F','~10대',1,40.41,0.36,1570,10
'201701','158',' 독립문 어린이 공원','정기','F','~10대',4,327.55,3.41,14770,80
'201701','159',' 이대역 4번 출구','정기','F','~10대',1,27.05,0.28,1220,7
'201701','160',' 북아현동 가구거리','정기','F','~10대',1,27.05,0.28,1220,8
'201701','162',' 봉원고가차도 밑','정기','F','~10대',1,68.31,0.8,3450,23
'201701','120',' 신수동 사거리','정기','F','~10대',3,141.31,1.45,6260,41
'201701','164',' 북가좌1동 주민센터 ','정기','F','~10대',1,14.36,0.22,930,11
'201701','170',' 가재울 뉴타운 주유소 옆','정기','F','~10대',5,304.77,2.74,11840,71
'201701','175',' 홍연2교옆','정기','F','~10대',1,44.53,0.4,1730,8
'201701','521',' 왕십리역 11번 출구 앞','정기','F','~10대',2,249.72,2.44,10510,61
'201701','522',' 금호역 1번출구 앞','정기','F','~10대',1,55.76,0.41,1760,24
'201701','526',' 용답토속공원 앞','정기','F','~10대',2,28.97,0.31,1330,8
'201701','529',' 장한평역 8번 출구 앞','정기','F','~10대',12,554.11,5.91,25440,136
'201701','123',' 문화촌 공원','정기','F','~10대',1,814.14,7.23,31150,178
'201701','538',' 답십리역 8번출구 앞','정기','F','~10대',10,522.94,5.56,24010,87
'201701','540',' 군자역 7번출구 베스트샵 앞','정기','F','~10대',2,299.61,2.8,12090,55
'201701','543',' 구의공원(테크노마트 앞)','정기','F','~10대',2,202.8,2.03,8760,54
'201701','549',' 아차산역 3번출구','정기','F','~10대',2,424.79,3.94,16990,151
'201701','124',' 서강대 정문 건너편','정기','F','~10대',1,20.08,0.18,780,6
'201701','604',' 답십리초등학교 옆 공원','정기','F','~10대',1,37.02,0.38,1640,51
'201701','608',' 전농삼성아파트','정기','F','~10대',2,246.94,2.54,10940,95
'201701','227',' 양평2나들목 보행통로 입구','정기','F','~10대',13,1523.57,13.73,59190,357
'201701','228',' 선유도역 3번출구 앞','정기','F','~10대',2,233.72,2.1,9080,47
'201701','126',' 서강대 후문 옆','정기','F','~10대',2,71.83,0.43,1870,61
'201701','240',' 문래역 4번출구 앞','정기','F','~10대',1,41.88,0.52,2250,23
'201701','242',' 신길선원가와인아파트 앞','정기','F','~10대',11,1894.46,17.08,73600,394
'201701','248',' 초원아파트 앞','정기','F','~10대',1,63.36,0.74,3200,19
'201701','128',' 신촌역(2호선) 1번출구 옆','정기','F','~10대',1,35.66,0.37,1580,13
'201701','256',' 동아에코빌입구','정기','F','~10대',3,96.6,1.21,5190,42
'201701','129',' 신촌역(2호선) 6번출구 옆','정기','F','~10대',3,228.66,2.35,10130,67
'201701','710',' 서부화물트럭터미널 사거리','정기','F','~10대',10,182.5,2.23,9600,48
'201701','130',' 신촌역(2호선) 7번출구 앞','정기','F','~10대',4,112.39,1.15,4930,70
'201701','805',' 문배어린이공원 앞','정기','F','~10대',2,166.06,1.68,7230,111
'201701','806',' 전자랜드 본관 앞','정기','F','~10대',1,139.04,1.45,6270,26
