'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-03','108',' 서교동 사거리','정기','F','~10대',2,177.19,1.28,5520,62
'2017-03','504',' 신자초교입구교차로','정기','F','~10대',1,19.01,0.22,960,4
'2017-03','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',1,40.59,0.48,2050,9
'2017-03','507',' 성수아이에스비즈타워 앞','정기','F','~10대',1,56.07,0.55,2360,21
'2017-03','511',' 서울숲역 4번 출구 옆','정기','F','~10대',1,145.03,1.6,6910,52
'2017-03','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',1,78.72,0.82,3550,15
'2017-03','515',' 광양중학교 앞','정기','F','~10대',1,190.48,2.15,9250,59
'2017-03','301',' 경복궁역 7번출구 앞','정기','F','~10대',3,225.48,2.04,8760,74
'2017-03','115',' 사루비아 빌딩 앞','정기','F','~10대',6,319.85,3.28,14170,89
'2017-03','305',' 종로구청 옆','정기','F','~10대',1,68.98,0.62,2680,21
'2017-03','306',' 광화문역 7번출구 앞','정기','F','~10대',1,53.13,0.6,2580,23
'2017-03','309',' 광화문역 6번출구 옆','정기','F','~10대',1,42.58,0.45,1920,8
'2017-03','310',' 청계광장 옆','정기','F','~10대',6,198.2,1.79,7700,45
'2017-03','311',' 서울광장 옆','정기','F','~10대',1,40.41,0.36,1570,14
'2017-03','110',' 사천교','정기','F','~10대',3,151.71,1.3,5640,42
'2017-03','314',' 국립현대미술관','정기','F','~10대',1,26.98,0.3,1310,9
'2017-03','315',' 신한은행 안국역지점 옆','정기','F','~10대',8,378.57,3.45,14910,151
'2017-03','324',' 신세계백화점 본점 앞','정기','F','~10대',4,531.67,4.45,19180,165
'2017-03','326',' 안국역 5번출구 앞','정기','F','~10대',1,64.61,0.58,2510,18
'2017-03','334',' 종로3가역 2번출구 뒤','정기','F','~10대',3,94.17,1.03,4450,28
'2017-03','335',' 종로3가역 15번출구 앞','정기','F','~10대',2,96.63,0.94,4060,27
'2017-03','337',' 창경궁 입구','정기','F','~10대',1,10.3,0.12,520,6
'2017-03','339',' 종로4가 사거리','정기','F','~10대',1,11.21,0.14,590,3
'2017-03','341',' 혜화역 3번출구 뒤','정기','F','~10대',6,146,1.67,7210,62
'2017-03','342',' 대학로 마로니에공원','정기','F','~10대',5,101.71,0.99,4210,23
'2017-03','344',' 성균관대 E하우스 앞','정기','F','~10대',1,64.86,0.54,2340,34
'2017-03','345',' 서울보증보험본사 앞','정기','F','~10대',3,75.58,0.85,3670,38
'2017-03','346',' 맥스타일 앞','정기','F','~10대',1,86.01,0.84,3620,37
'2017-03','353',' 재동초교 앞 삼거리','정기','F','~10대',7,284.37,3.19,13810,110
'2017-03','117',' 홍은사거리','정기','F','~10대',19,4844.59,40.48,174480,788
'2017-03','354',' 포르투갈 대사관 앞','정기','F','~10대',6,230.23,2.59,11180,75
'2017-03','355',' 서울사대부속초교 앞','정기','F','~10대',4,226.25,2.04,8790,69
'2017-03','356',' KT혜화지사 앞','정기','F','~10대',2,33.21,0.37,1570,11
'2017-03','358',' 성대입구 사거리','정기','F','~10대',58,1414.04,13.78,59180,390
'2017-03','359',' 원남동사거리','정기','F','~10대',81,1879.66,20.75,89400,634
'2017-03','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',1,95.36,0.8,3440,34
'2017-03','113',' 홍대입구역 2번출구 앞','정기','F','~10대',7,544.03,4.98,21420,158
'2017-03','367',' 독립문역 3-1번출구 ','정기','F','~10대',4,311.21,2.97,12780,151
'2017-03','118',' 광흥창역 2번출구 앞','정기','F','~10대',2,566.22,4.99,21510,118
'2017-03','377',' 서울역 4번출구 앞','정기','F','~10대',1,94.11,1.06,4570,49
'2017-03','381',' 장충체육관','정기','F','~10대',6,290.19,2.12,9160,71
'2017-03','114',' 홍대입구역 8번출구 앞','정기','F','~10대',1,52.27,0.56,2400,19
'2017-03','143',' 공덕역 2번출구','정기','F','~10대',5,1069.86,8.16,35200,215
'2017-03','144',' 공덕역 8번출구','정기','F','~10대',1,162.15,1.64,7060,48
'2017-03','145',' 공덕역 5번출구','정기','F','~10대',1,85.16,0.89,3840,15
'2017-03','153',' 성산2교 사거리','정기','F','~10대',2,70.69,0.55,2380,19
'2017-03','154',' 마포구청역 ','정기','F','~10대',2,56.19,0.4,1750,12
'2017-03','155',' 가좌역1 번출구 뒤','정기','F','~10대',1,63.56,0.5,2140,25
'2017-03','158',' 독립문 어린이 공원','정기','F','~10대',6,900.79,9.02,38920,202
'2017-03','159',' 이대역 4번 출구','정기','F','~10대',5,138.82,1.45,6260,38
'2017-03','160',' 북아현동 가구거리','정기','F','~10대',10,270.07,2.81,12180,86
'2017-03','163',' 명지전문대학교 정문 앞','정기','F','~10대',2,229.43,2.38,10250,69
'2017-03','166',' 가재울 초등학교','정기','F','~10대',1,45.3,0.41,1760,14
'2017-03','168',' 남가좌동 사거리','정기','F','~10대',2,28.31,0.26,1100,4
'2017-03','169',' 북가좌 삼거리','정기','F','~10대',1,193.82,1.75,7530,36
'2017-03','170',' 가재울 뉴타운 주유소 옆','정기','F','~10대',6,400.78,3.62,15570,120
'2017-03','171',' 임광빌딩 앞','정기','F','~10대',4,161.97,1.85,8020,98
'2017-03','173',' 서대문역 8번출구 앞','정기','F','~10대',1,0,0,0,11
'2017-03','175',' 홍연2교옆','정기','F','~10대',5,1121.79,9.41,40550,185
'2017-03','180',' 충정로역 7번출구 뒤','정기','F','~10대',3,91.03,0.95,4110,27
'2017-03','519',' 양지사거리','정기','F','~10대',1,94.09,1,4320,28
'2017-03','523',' 옥수동성당 옆','정기','F','~10대',1,186.94,1.96,8430,37
'2017-03','122',' 신성기사식당 앞','정기','F','~10대',1,26.78,0.32,1380,9
'2017-03','524',' 래미안금호하이리버 아파트 102동 옆','정기','F','~10대',1,11.88,0.12,500,3
'2017-03','525',' 한양대병원사거리','정기','F','~10대',6,1146.44,12.12,52210,242
'2017-03','526',' 용답토속공원 앞','정기','F','~10대',1,64.02,0.74,3170,31
'2017-03','534',' 금호사거리','정기','F','~10대',1,85.06,0.83,3580,32
'2017-03','535',' 응봉삼거리','정기','F','~10대',2,314.5,3.35,14440,65
'2017-03','537',' 한양대후문역 부근','정기','F','~10대',2,243.66,3.4,14650,78
'2017-03','123',' 문화촌 공원','정기','F','~10대',3,215.77,1.77,7650,52
'2017-03','540',' 군자역 7번출구 베스트샵 앞','정기','F','~10대',1,18.98,0.22,940,6
'2017-03','544',' 광남중학교','정기','F','~10대',1,129.77,1.31,5650,28
'2017-03','549',' 아차산역 3번출구','정기','F','~10대',2,65.82,0.64,2770,18
'2017-03','124',' 서강대 정문 건너편','정기','F','~10대',1,66.15,0.6,2570,16
'2017-03','607',' 신이문역 2번출구','정기','F','~10대',1,283.14,3.02,13000,73
'2017-03','609',' 제기2교','정기','F','~10대',2,265.93,2.83,12210,73
'2017-03','612',' 시립동부병원 앞 사거리','정기','F','~10대',2,611.33,5.51,23750,134
'2017-03','614',' 용두동 사거리','정기','F','~10대',5,1010.8,9.11,39270,240
'2017-03','227',' 양평2나들목 보행통로 입구','정기','F','~10대',20,2684.44,24.4,105220,548
'2017-03','228',' 선유도역 3번출구 앞','정기','F','~10대',8,279.68,2.52,10840,83
'2017-03','229',' 양평1 보행육교 앞','정기','F','~10대',2,266.61,1.93,8310,110
'2017-03','232',' 양평우림 이비즈센타 앞','정기','F','~10대',5,870.11,8.82,38010,232
'2017-03','237',' 보라매 두산위브 건너편','정기','F','~10대',1,127.85,1.36,5870,39
'2017-03','239',' 유스호스텔 앞','정기','F','~10대',2,682.47,5.71,24620,116
'2017-03','240',' 문래역 4번출구 앞','정기','F','~10대',1,17.92,0.2,870,6
'2017-03','242',' 신길선원가와인아파트 앞','정기','F','~10대',3,355.99,3.21,13830,115
'2017-03','243',' 이앤씨드림타워 앞','정기','F','~10대',1,25.53,0.29,1240,9
'2017-03','244',' 영등포삼환아파트 앞','정기','F','~10대',3,175.99,1.92,8230,51
'2017-03','248',' 초원아파트 앞','정기','F','~10대',1,224.99,2.4,10330,53
'2017-03','249',' 여의도중학교 옆','정기','F','~10대',1,118.01,1.38,5960,48
'2017-03','250',' 대림아파트 사거리','정기','F','~10대',1,40.95,0.44,1880,12
'2017-03','251',' 서울지방병무청 버스정류장','정기','F','~10대',2,130.9,1.4,6010,48
'2017-03','252',' 보라매역4번출구','정기','F','~10대',1,112.82,1.2,5180,37
'2017-03','253',' 신풍역 5번출구 인근','정기','F','~10대',1,0,0,0,25
'2017-03','256',' 동아에코빌입구','정기','F','~10대',6,311.94,3.88,16760,141
'2017-03','259',' 대방역6번출구','정기','F','~10대',2,104.54,1.12,4800,28
'2017-03','702',' 목4동주민센터 옆','정기','F','~10대',1,63.06,0.57,2450,13
'2017-03','708',' 서울출입국관리사무소 앞','정기','F','~10대',1,66.67,0.6,2590,15
'2017-03','710',' 서부화물트럭터미널 사거리','정기','F','~10대',10,173.95,2.12,9150,46
'2017-03','130',' 신촌역(2호선) 7번출구 앞','정기','F','~10대',2,49.14,0.36,1530,27
'2017-03','811',' 녹사평역1번출구','정기','F','~10대',1,15.03,0.16,690,4
'2017-03','815',' LIG강촌아파트 103동앞','정기','F','~10대',1,113.23,1.14,4930,40
'2017-03','132',' 창천문화공원','정기','F','~10대',2,101.12,1.04,4480,37
'2017-03','185',' 마포 신수공원 앞','정기','F','~10대',3,446.98,4.2,18120,110
'2017-03','186',' 월드컵공원','정기','F','~10대',1,68.21,0.61,2650,18
'2017-03','192',' 연서어린이공원','정기','F','~10대',10,298.16,3.06,13210,82
'2017-03','178',' 증산3교 앞','정기','F','~10대',1,67.95,0.61,2640,18
'2017-03','133',' 해담는다리','정기','F','~10대',3,181.14,1.43,6150,83
'2017-03','194',' 증산교 앞','정기','F','~10대',3,476.36,4.81,20740,105
'2017-03','198',' 충정2교','정기','F','~10대',1,109.77,1.17,5040,39
'2017-03','556',' 달맞이공원','정기','F','~10대',1,278.78,2.97,12800,65
'2017-03','558',' 성동광진 교육지원청 앞','정기','F','~10대',1,60.79,0.7,3010,21
'2017-03','559',' 왕십리역 4번 출구 건너편','정기','F','~10대',2,188.03,2.16,9310,86
'2017-03','564',' 금호역 3번출구','정기','F','~10대',1,52.91,0.39,1670,14
'2017-03','135',' 명물길 원형무대 앞','정기','F','~10대',2,49.88,0.53,2290,67
