'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-05','108',' 서교동 사거리','정기','F','~10대',1,31.92,0.3,1300,11
'2017-05','503',' 더샵스타시티 C동 앞','정기','F','~10대',1,48.71,0.48,2050,14
'2017-05','504',' 신자초교입구교차로','정기','F','~10대',9,974.91,9.37,40430,312
'2017-05','507',' 성수아이에스비즈타워 앞','정기','F','~10대',2,52.75,0.52,2220,73
'2017-05','509',' 이마트 버스정류소 옆','정기','F','~10대',6,204.16,1.98,8520,69
'2017-05','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',1,45.6,0.57,2450,23
'2017-05','511',' 서울숲역 4번 출구 옆','정기','F','~10대',5,341.11,3.42,14700,150
'2017-05','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',8,476.61,5.5,23710,144
'2017-05','514',' 성수사거리 버스정류장 앞','정기','F','~10대',3,313.81,2.95,12710,86
'2017-05','516',' 광진메디칼 앞','정기','F','~10대',2,81.73,0.99,4300,39
'2017-05','301',' 경복궁역 7번출구 앞','정기','F','~10대',17,775.59,6.67,28700,187
'2017-05','302',' 경복궁역 4번출구 뒤','정기','F','~10대',1,108.9,1.28,5500,52
'2017-05','303',' 광화문역 1번출구 앞','정기','F','~10대',3,40.93,0.37,1590,9
'2017-05','115',' 사루비아 빌딩 앞','정기','F','~10대',2,129.37,1.39,5980,47
'2017-05','304',' 광화문역 2번출구 앞','정기','F','~10대',1,72.23,0.56,2400,20
'2017-05','305',' 종로구청 옆','정기','F','~10대',3,263.52,1.99,8570,73
'2017-05','306',' 광화문역 7번출구 앞','정기','F','~10대',2,99.3,0.8,3450,36
'2017-05','310',' 청계광장 옆','정기','F','~10대',14,309.57,3.12,13440,101
'2017-05','311',' 서울광장 옆','정기','F','~10대',16,792.09,6.85,29580,228
'2017-05','312',' 시청역 1번출구 뒤','정기','F','~10대',11,880.3,7.15,30830,267
'2017-05','313',' 서울역 광장 파출소 옆','정기','F','~10대',4,308.46,3.15,13630,98
'2017-05','315',' 신한은행 안국역지점 옆','정기','F','~10대',21,1146.5,10.98,47410,579
'2017-05','316',' 종각역 1번출구 앞','정기','F','~10대',1,36.07,0.32,1380,6
'2017-05','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,24.14,0.29,1270,9
'2017-05','326',' 안국역 5번출구 앞','정기','F','~10대',4,315.83,2.54,10960,82
'2017-05','327',' 낙원상가 옆','정기','F','~10대',1,92.27,1.08,4660,37
'2017-05','328',' 탑골공원 앞','정기','F','~10대',2,90.35,0.91,3900,29
'2017-05','329',' 청계2가 사거리 옆','정기','F','~10대',1,71.41,0.75,3220,13
'2017-05','331',' 을지로2가 사거리 북측','정기','F','~10대',1,92,1.12,4840,43
'2017-05','111',' 상수역 2번출구 앞','정기','F','~10대',4,504.21,5.35,23060,142
'2017-05','334',' 종로3가역 2번출구 뒤','정기','F','~10대',4,173.22,2.29,9830,60
'2017-05','335',' 종로3가역 15번출구 앞','정기','F','~10대',2,52.17,0.42,1820,19
'2017-05','337',' 창경궁 입구','정기','F','~10대',14,223.51,2.46,10690,103
'2017-05','338',' 세운스퀘어 앞','정기','F','~10대',3,40.38,0.43,1850,20
'2017-05','339',' 종로4가 사거리','정기','F','~10대',3,169.44,1.51,6550,48
'2017-05','340',' 혜화동 로터리','정기','F','~10대',1,0,0,0,2
'2017-05','341',' 혜화역 3번출구 뒤','정기','F','~10대',19,485.76,5,21540,151
'2017-05','342',' 대학로 마로니에공원','정기','F','~10대',12,393.72,4.48,19330,141
'2017-05','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',1,47.08,0.48,2050,17
'2017-05','112',' 극동방송국 앞','정기','F','~10대',14,1399.97,14.56,62790,483
'2017-05','344',' 성균관대 E하우스 앞','정기','F','~10대',10,376.26,3.88,16710,127
'2017-05','346',' 맥스타일 앞','정기','F','~10대',4,226.6,1.93,8270,79
'2017-05','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',3,142.92,1.31,5650,53
'2017-05','349',' 사직동주민센터','정기','F','~10대',1,46.07,0.42,1790,9
'2017-05','352',' 중앙고입구 삼거리','정기','F','~10대',3,144.91,1.31,5630,47
'2017-05','353',' 재동초교 앞 삼거리','정기','F','~10대',5,311.18,2.78,12020,95
'2017-05','117',' 홍은사거리','정기','F','~10대',9,2351.53,20.47,88230,377
'2017-05','354',' 포르투갈 대사관 앞','정기','F','~10대',1,50.97,0.46,1980,16
'2017-05','355',' 서울사대부속초교 앞','정기','F','~10대',20,629.33,6.51,27950,224
'2017-05','356',' KT혜화지사 앞','정기','F','~10대',5,49.07,0.51,2180,15
'2017-05','358',' 성대입구 사거리','정기','F','~10대',158,3786.43,38.57,165800,1033
'2017-05','359',' 원남동사거리','정기','F','~10대',151,3443.58,36.47,156880,1154
'2017-05','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',6,248.76,2.64,11360,82
'2017-05','363',' 신설동역 11번출구 뒤','정기','F','~10대',13,909.08,9.18,39580,781
'2017-05','113',' 홍대입구역 2번출구 앞','정기','F','~10대',6,450.08,4.71,20330,117
'2017-05','367',' 독립문역 3-1번출구 ','정기','F','~10대',1,14.15,0.11,470,5
'2017-05','369',' 광화문 시민열린마당','정기','F','~10대',1,21.58,0.25,1090,9
'2017-05','348',' 독립문역 사거리','정기','F','~10대',1,254.04,2.26,9720,40
'2017-05','372',' 약수역 3번출구 뒤','정기','F','~10대',1,14.14,0.1,420,2
'2017-05','373',' 청구 어린이공원','정기','F','~10대',4,343.89,2.48,10680,85
'2017-05','374',' 청구역 2번출구 앞','정기','F','~10대',6,402.71,3.02,13010,110
'2017-05','118',' 광흥창역 2번출구 앞','정기','F','~10대',3,98.22,0.96,4120,23
'2017-05','377',' 서울역 4번출구 앞','정기','F','~10대',1,58.11,0.74,3190,29
'2017-05','378',' 청계7가 사거리','정기','F','~10대',2,156.61,1.84,7910,64
'2017-05','379',' 서울역9번출구','정기','F','~10대',1,31.55,0.39,1660,11
'2017-05','380',' CJ제일제당 앞','정기','F','~10대',2,95.59,0.66,2840,28
'2017-05','381',' 장충체육관','정기','F','~10대',1,49.74,0.36,1570,13
'2017-05','383',' 신당역 12번 출구 뒤','정기','F','~10대',3,85.1,0.8,3460,28
'2017-05','114',' 홍대입구역 8번출구 앞','정기','F','~10대',5,232.99,2.81,12140,89
'2017-05','142',' 아현역 4번출구 앞','정기','F','~10대',4,180.19,1.54,6710,45
'2017-05','144',' 공덕역 8번출구','정기','F','~10대',2,146.3,1.44,6210,58
'2017-05','145',' 공덕역 5번출구','정기','F','~10대',1,34.45,0.35,1500,13
'2017-05','146',' 마포역 1번출구 뒤','정기','F','~10대',1,111.05,1.14,4920,42
'2017-05','148',' 용강동 주민센터 앞','정기','F','~10대',2,133.07,1.2,5170,30
'2017-05','150',' 서강대역 2번출구 앞','정기','F','~10대',2,106.33,1.25,5370,43
'2017-05','151',' 망원1동주민센터','정기','F','~10대',1,222.39,2,8640,47
'2017-05','152',' 마포구민체육센터 앞','정기','F','~10대',4,412.18,4.01,17340,164
'2017-05','119',' 서강나루 공원','정기','F','~10대',2,78.33,0.83,3600,26
'2017-05','154',' 마포구청역 ','정기','F','~10대',2,38.61,0.35,1500,23
'2017-05','157',' 애오개역 4번출구 앞','정기','F','~10대',2,133.49,1.25,5370,43
'2017-05','158',' 독립문 어린이 공원','정기','F','~10대',17,2170.27,19.74,85070,426
'2017-05','159',' 이대역 4번 출구','정기','F','~10대',5,251.96,2.58,11140,93
'2017-05','160',' 북아현동 가구거리','정기','F','~10대',6,374.66,3.54,15260,97
'2017-05','161',' 무악재역1번 출구','정기','F','~10대',1,82.33,0.73,3150,25
'2017-05','162',' 봉원고가차도 밑','정기','F','~10대',1,100.39,1.18,5070,29
'2017-05','120',' 신수동 사거리','정기','F','~10대',3,326.62,3.36,14470,100
'2017-05','163',' 명지전문대학교 정문 앞','정기','F','~10대',12,1023.72,9.68,41730,295
'2017-05','166',' 가재울 초등학교','정기','F','~10대',3,302.59,2.9,12530,74
'2017-05','170',' 가재울 뉴타운 주유소 옆','정기','F','~10대',16,1207.68,11.52,49670,367
'2017-05','171',' 임광빌딩 앞','정기','F','~10대',1,55.98,0.43,1860,15
'2017-05','172',' 서대문소방서','정기','F','~10대',3,172.37,1.35,5840,48
'2017-05','173',' 서대문역 8번출구 앞','정기','F','~10대',2,90.59,0.69,3010,26
'2017-05','175',' 홍연2교옆','정기','F','~10대',13,2301.01,22.8,98280,493
'2017-05','180',' 충정로역 7번출구 뒤','정기','F','~10대',3,64.04,0.49,2100,32
'2017-05','518',' 청계천 박물관 앞','정기','F','~10대',1,213.38,1.92,8290,56
'2017-05','520',' 상왕십리역 4번 출구 앞','정기','F','~10대',9,841.71,7.59,32700,238
'2017-05','521',' 왕십리역 11번 출구 앞','정기','F','~10대',5,364.51,3.54,15260,110
'2017-05','522',' 금호역 1번출구 앞','정기','F','~10대',2,108.98,0.8,3440,32
'2017-05','525',' 한양대병원사거리','정기','F','~10대',31,3164.8,30.63,132070,812
'2017-05','526',' 용답토속공원 앞','정기','F','~10대',2,119.61,1.11,4750,40
'2017-05','529',' 장한평역 8번 출구 앞','정기','F','~10대',3,135.91,1.44,6240,34
'2017-05','533',' 우리은행 금호동 지점 앞','정기','F','~10대',1,9.19,0.07,290,28
'2017-05','535',' 응봉삼거리','정기','F','~10대',2,55.13,0.54,2320,17
'2017-05','536',' 행당역 2번출구 앞','정기','F','~10대',4,263.49,2.98,12840,98
'2017-05','537',' 한양대후문역 부근','정기','F','~10대',9,1277.09,12.06,52020,253
'2017-05','538',' 답십리역 8번출구 앞','정기','F','~10대',3,152.76,1.59,6870,52
'2017-05','539',' 군자교교차로','정기','F','~10대',1,88.8,0.8,3450,22
'2017-05','540',' 군자역 7번출구 베스트샵 앞','정기','F','~10대',18,573.53,5.55,23930,280
'2017-05','542',' 강변역 4번출구 뒤','정기','F','~10대',4,528.03,5.2,22350,170
'2017-05','549',' 아차산역 3번출구','정기','F','~10대',2,66.77,0.65,2810,28
'2017-05','124',' 서강대 정문 건너편','정기','F','~10대',2,99.1,0.9,3850,27
'2017-05','600',' 휘경2동 주민센터','정기','F','~10대',2,90.35,0.81,3510,16
'2017-05','602',' 장안동 사거리','정기','F','~10대',4,293.63,3.35,14450,95
'2017-05','604',' 답십리초등학교 옆 공원','정기','F','~10대',1,39.12,0.35,1520,16
'2017-05','607',' 신이문역 2번출구','정기','F','~10대',4,659.68,6.6,28450,314
'2017-05','609',' 제기2교','정기','F','~10대',3,831.92,7.49,32320,133
'2017-05','125',' 서강대 남문 옆','정기','F','~10대',1,36.75,0.54,2320,23
'2017-05','613',' 신설동역 10번출구 앞','정기','F','~10대',2,94.62,0.95,4120,35
'2017-05','614',' 용두동 사거리','정기','F','~10대',3,226.12,2.65,11420,102
'2017-05','616',' 서울시립대 앞','정기','F','~10대',1,17.25,0.16,670,4
'2017-05','617',' 청솔우성아파트 앞','정기','F','~10대',1,65.38,0.59,2540,19
'2017-05','227',' 양평2나들목 보행통로 입구','정기','F','~10대',17,2827.29,25.46,109840,635
'2017-05','228',' 선유도역 3번출구 앞','정기','F','~10대',1,67.7,0.61,2630,26
'2017-05','229',' 양평1 보행육교 앞','정기','F','~10대',1,62.73,0.61,2640,14
'2017-05','126',' 서강대 후문 옆','정기','F','~10대',35,1099.21,14.92,64210,511
'2017-05','236',' 문래동자이아파트 앞','정기','F','~10대',3,94.66,1.04,4510,49
'2017-05','237',' 보라매 두산위브 건너편','정기','F','~10대',1,190.63,1.93,8300,50
'2017-05','238',' 제2구민체육센타 앞','정기','F','~10대',2,87.01,0.79,3380,22
'2017-05','239',' 유스호스텔 앞','정기','F','~10대',9,1940.43,19.55,84310,422
'2017-05','240',' 문래역 4번출구 앞','정기','F','~10대',1,16.56,0.21,890,7
'2017-05','242',' 신길선원가와인아파트 앞','정기','F','~10대',6,912.5,8.23,35450,127
'2017-05','243',' 이앤씨드림타워 앞','정기','F','~10대',2,45.47,0.51,2190,18
'2017-05','244',' 영등포삼환아파트 앞','정기','F','~10대',10,1360.13,12.08,52040,236
'2017-05','245',' 삼성생명 당산사옥 앞','정기','F','~10대',4,113.52,1.02,4410,27
'2017-05','247',' 당산역 10번출구 앞','정기','F','~10대',7,238.41,2.14,9210,59
