'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-07','108',' 서교동 사거리','정기','F','~10대',2,132.71,1.38,5920,43
'2017-07','503',' 더샵스타시티 C동 앞','정기','F','~10대',5,314.49,3.05,13130,99
'2017-07','504',' 신자초교입구교차로','정기','F','~10대',3,162.65,1.85,7920,38
'2017-07','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',7,251.62,2.77,11930,166
'2017-07','507',' 성수아이에스비즈타워 앞','정기','F','~10대',3,118.81,1.16,5000,32
'2017-07','508',' 성수아카데미타워 앞','정기','F','~10대',2,61.16,0.66,2860,19
'2017-07','509',' 이마트 버스정류소 옆','정기','F','~10대',4,824.45,7.44,32030,198
'2017-07','511',' 서울숲역 4번 출구 옆','정기','F','~10대',1,176.85,1.88,8120,56
'2017-07','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',14,624.84,5.92,25550,188
'2017-07','109',' 제일빌딩 앞','정기','F','~10대',3,714.71,6.75,29110,145
'2017-07','514',' 성수사거리 버스정류장 앞','정기','F','~10대',3,164.58,1.94,8400,44
'2017-07','516',' 광진메디칼 앞','정기','F','~10대',3,203.28,2.11,9110,47
'2017-07','300',' 정동사거리','정기','F','~10대',7,295.87,3.36,14540,92
'2017-07','301',' 경복궁역 7번출구 앞','정기','F','~10대',13,640.12,5.63,24250,154
'2017-07','302',' 경복궁역 4번출구 뒤','정기','F','~10대',1,56.19,0.6,2580,14
'2017-07','304',' 광화문역 2번출구 앞','정기','F','~10대',6,360.94,3.11,13410,103
'2017-07','305',' 종로구청 옆','정기','F','~10대',1,22.87,0.24,1050,8
'2017-07','306',' 광화문역 7번출구 앞','정기','F','~10대',3,46.96,0.45,1930,24
'2017-07','308',' 광화문 S타워 앞','정기','F','~10대',4,196.18,1.58,6800,67
'2017-07','309',' 광화문역 6번출구 옆','정기','F','~10대',3,81.11,0.81,3510,22
'2017-07','310',' 청계광장 옆','정기','F','~10대',4,250.83,2.44,10510,66
'2017-07','311',' 서울광장 옆','정기','F','~10대',6,283.66,2.45,10560,74
'2017-07','312',' 시청역 1번출구 뒤','정기','F','~10대',9,478.83,3.78,16330,122
'2017-07','313',' 서울역 광장 파출소 옆','정기','F','~10대',5,390.48,3.47,14940,108
'2017-07','110',' 사천교','정기','F','~10대',1,42.25,0.45,1940,12
'2017-07','315',' 신한은행 안국역지점 옆','정기','F','~10대',22,1359.91,11.57,49880,323
'2017-07','320',' 을지로입구역 4번출구 앞','정기','F','~10대',2,85.77,0.84,3660,30
'2017-07','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,46.83,0.5,2150,16
'2017-07','322',' 명동성당 앞','정기','F','~10대',1,134.64,1.58,6800,39
'2017-07','116',' 일진아이윌아파트 옆','정기','F','~10대',2,93.71,1.15,4930,83
'2017-07','324',' 신세계백화점 본점 앞','정기','F','~10대',2,56.19,0.6,2580,29
'2017-07','326',' 안국역 5번출구 앞','정기','F','~10대',8,572.6,4.31,18530,107
'2017-07','327',' 낙원상가 옆','정기','F','~10대',1,118.66,1.07,4610,57
'2017-07','328',' 탑골공원 앞','정기','F','~10대',5,238.03,2.41,10370,65
'2017-07','329',' 청계2가 사거리 옆','정기','F','~10대',14,727.8,8.16,35230,249
'2017-07','330',' 청계천 한빛광장','정기','F','~10대',11,413.08,4.32,18590,127
'2017-07','111',' 상수역 2번출구 앞','정기','F','~10대',5,246.58,2.36,10150,78
'2017-07','335',' 종로3가역 15번출구 앞','정기','F','~10대',2,57.62,0.68,2910,25
'2017-07','337',' 창경궁 입구','정기','F','~10대',4,160.02,1.89,8120,46
'2017-07','339',' 종로4가 사거리','정기','F','~10대',1,39.9,0.36,1550,11
'2017-07','340',' 혜화동 로터리','정기','F','~10대',8,119.06,1.34,5780,45
'2017-07','342',' 대학로 마로니에공원','정기','F','~10대',22,1008.31,10.2,44020,277
'2017-07','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',1,0,0,0,12
'2017-07','112',' 극동방송국 앞','정기','F','~10대',3,687.52,6.33,27280,251
'2017-07','344',' 성균관대 E하우스 앞','정기','F','~10대',29,984.66,9.47,40820,313
'2017-07','346',' 맥스타일 앞','정기','F','~10대',1,94.09,1,4320,25
'2017-07','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',7,271.39,2.24,9700,89
'2017-07','349',' 사직동주민센터','정기','F','~10대',18,820.59,8.4,36250,228
'2017-07','351',' 청운초교 앞 삼거리','정기','F','~10대',1,43.76,0.39,1700,12
'2017-07','352',' 중앙고입구 삼거리','정기','F','~10대',5,332.57,3.75,16150,96
'2017-07','353',' 재동초교 앞 삼거리','정기','F','~10대',6,261.49,2.86,12290,116
'2017-07','117',' 홍은사거리','정기','F','~10대',4,390.68,3.44,14810,77
'2017-07','354',' 포르투갈 대사관 앞','정기','F','~10대',2,70.66,0.72,3080,30
'2017-07','355',' 서울사대부속초교 앞','정기','F','~10대',12,793.13,7.85,33810,295
'2017-07','356',' KT혜화지사 앞','정기','F','~10대',1,24.97,0.23,970,9
'2017-07','358',' 성대입구 사거리','정기','F','~10대',20,788.61,7.4,31870,228
'2017-07','359',' 원남동사거리','정기','F','~10대',13,366.92,4.37,18860,121
'2017-07','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',9,259,2,8620,65
'2017-07','362',' 청계8가 사거리','정기','F','~10대',3,171.29,1.9,8210,45
'2017-07','363',' 신설동역 11번출구 뒤','정기','F','~10대',20,1731.04,14.54,62610,403
'2017-07','113',' 홍대입구역 2번출구 앞','정기','F','~10대',5,797.57,7.39,31910,258
'2017-07','367',' 독립문역 3-1번출구 ','정기','F','~10대',2,55.08,0.42,1830,14
'2017-07','368',' SK 서린빌딩 앞','정기','F','~10대',2,38.02,0.44,1920,14
'2017-07','369',' 광화문 시민열린마당','정기','F','~10대',1,15.65,0.12,520,3
'2017-07','370',' 시청역(2호선) 9번출구 뒤','정기','F','~10대',1,15.96,0.14,620,4
'2017-07','373',' 청구 어린이공원','정기','F','~10대',4,115.16,1.23,5290,127
'2017-07','374',' 청구역 2번출구 앞','정기','F','~10대',9,435.93,3.91,16810,179
'2017-07','118',' 광흥창역 2번출구 앞','정기','F','~10대',2,61.87,0.73,3170,71
'2017-07','375',' 다산 어린이공원','정기','F','~10대',4,140.55,1.27,5460,34
'2017-07','379',' 서울역9번출구','정기','F','~10대',1,86.74,0.78,3370,24
'2017-07','381',' 장충체육관','정기','F','~10대',1,51.32,0.38,1620,15
'2017-07','383',' 신당역 12번 출구 뒤','정기','F','~10대',3,75.49,0.91,3900,34
'2017-07','384',' 종로학원본원 ','정기','F','~10대',14,385.42,4.05,17450,105
'2017-07','114',' 홍대입구역 8번출구 앞','정기','F','~10대',1,113.57,1.11,4780,24
'2017-07','142',' 아현역 4번출구 앞','정기','F','~10대',1,30.89,0.28,1200,9
'2017-07','143',' 공덕역 2번출구','정기','F','~10대',1,29.22,0.29,1230,8
'2017-07','145',' 공덕역 5번출구','정기','F','~10대',2,46.59,0.42,1810,10
'2017-07','146',' 마포역 1번출구 뒤','정기','F','~10대',1,115.43,1.23,5300,44
'2017-07','150',' 서강대역 2번출구 앞','정기','F','~10대',5,372.89,3.58,15390,106
'2017-07','151',' 망원1동주민센터','정기','F','~10대',1,186.28,1.56,6720,38
'2017-07','152',' 마포구민체육센터 앞','정기','F','~10대',4,563.85,5.41,23290,157
'2017-07','153',' 성산2교 사거리','정기','F','~10대',4,535.09,5.02,21630,105
'2017-07','154',' 마포구청역 ','정기','F','~10대',1,56.11,0.59,2530,18
'2017-07','155',' 가좌역1 번출구 뒤','정기','F','~10대',1,46.61,0.5,2140,13
'2017-07','157',' 애오개역 4번출구 앞','정기','F','~10대',7,693.39,6.77,29190,239
'2017-07','158',' 독립문 어린이 공원','정기','F','~10대',23,2049.3,18.18,78430,350
'2017-07','159',' 이대역 4번 출구','정기','F','~10대',8,188.25,1.85,8010,51
'2017-07','160',' 북아현동 가구거리','정기','F','~10대',5,456.25,3.67,15810,155
'2017-07','161',' 무악재역1번 출구','정기','F','~10대',4,250.26,2.66,11490,81
'2017-07','120',' 신수동 사거리','정기','F','~10대',1,39.95,0.41,1770,9
'2017-07','163',' 명지전문대학교 정문 앞','정기','F','~10대',5,643.16,6.02,25960,175
'2017-07','164',' 북가좌1동 주민센터 ','정기','F','~10대',1,0,0,0,2
'2017-07','165',' 중앙근린공원','정기','F','~10대',10,1049.18,12.52,54000,360
'2017-07','166',' 가재울 초등학교','정기','F','~10대',11,3658.42,34.06,146920,888
'2017-07','168',' 남가좌동 사거리','정기','F','~10대',2,139.75,1.18,5080,55
'2017-07','169',' 북가좌 삼거리','정기','F','~10대',1,14.62,0.16,710,5
'2017-07','170',' 가재울 뉴타운 주유소 옆','정기','F','~10대',8,719.71,6.74,29040,248
'2017-07','171',' 임광빌딩 앞','정기','F','~10대',3,101.95,0.9,3920,19
'2017-07','172',' 서대문소방서','정기','F','~10대',1,28.12,0.33,1420,9
'2017-07','121',' 마포소방서 앞','정기','F','~10대',2,225.48,2.59,11170,55
'2017-07','173',' 서대문역 8번출구 앞','정기','F','~10대',4,252.21,1.94,8380,58
'2017-07','175',' 홍연2교옆','정기','F','~10대',9,2269.22,21.67,93360,609
'2017-07','179',' 가좌역 4번출구 앞','정기','F','~10대',7,385.06,3.63,15710,92
'2017-07','518',' 청계천 박물관 앞','정기','F','~10대',2,314.77,2.88,12420,54
'2017-07','519',' 양지사거리','정기','F','~10대',4,302.41,3.98,17130,154
'2017-07','520',' 상왕십리역 4번 출구 앞','정기','F','~10대',1,18.79,0.17,730,6
'2017-07','521',' 왕십리역 11번 출구 앞','정기','F','~10대',2,190.4,1.92,8290,98
'2017-07','122',' 신성기사식당 앞','정기','F','~10대',3,74.5,0.91,3920,27
'2017-07','524',' 래미안금호하이리버 아파트 102동 옆','정기','F','~10대',1,37.89,0.43,1840,11
'2017-07','525',' 한양대병원사거리','정기','F','~10대',20,1614.2,16.66,71850,549
'2017-07','534',' 금호사거리','정기','F','~10대',3,87.31,0.98,4240,22
'2017-07','535',' 응봉삼거리','정기','F','~10대',5,136.23,1.13,4900,45
'2017-07','536',' 행당역 2번출구 앞','정기','F','~10대',6,434.99,3.74,16070,135
'2017-07','537',' 한양대후문역 부근','정기','F','~10대',6,247.92,2.36,10130,199
'2017-07','538',' 답십리역 8번출구 앞','정기','F','~10대',10,359.76,4.48,19330,145
'2017-07','550',' 서울시설공단 앞','정기','F','~10대',1,34.49,0.31,1340,6
'2017-07','539',' 군자교교차로','정기','F','~10대',1,50.71,0.46,1970,12
'2017-07','540',' 군자역 7번출구 베스트샵 앞','정기','F','~10대',7,197.89,2.13,9130,64
'2017-07','542',' 강변역 4번출구 뒤','정기','F','~10대',1,46.61,0.5,2140,17
'2017-07','543',' 구의공원(테크노마트 앞)','정기','F','~10대',8,266.55,2.87,12380,122
'2017-07','544',' 광남중학교','정기','F','~10대',1,77.24,0.96,4150,29
'2017-07','546',' 잠실대교북단 교차로','정기','F','~10대',2,101.58,1.19,5130,27
'2017-07','548',' 자양나들목','정기','F','~10대',1,78.41,0.84,3600,52
'2017-07','549',' 아차산역 3번출구','정기','F','~10대',2,111.57,1.34,5780,42
'2017-07','124',' 서강대 정문 건너편','정기','F','~10대',3,64.27,0.67,2850,30
'2017-07','600',' 휘경2동 주민센터','정기','F','~10대',4,807.78,8.17,35170,303
'2017-07','601',' 용신동주민센터','정기','F','~10대',2,119.08,1.33,5750,32
'2017-07','602',' 장안동 사거리','정기','F','~10대',2,118.56,1.08,4660,24
'2017-07','605',' 신설동역8번출구','정기','F','~10대',4,197.97,2,8620,55
'2017-07','606',' 휘경공고앞','정기','F','~10대',1,111.2,1.09,4680,25
'2017-07','607',' 신이문역 2번출구','정기','F','~10대',20,938.42,9.87,42550,236
'2017-07','608',' 전농삼성아파트','정기','F','~10대',3,131.62,1.33,5740,63
'2017-07','609',' 제기2교','정기','F','~10대',2,248.66,2.61,11230,115
'2017-07','125',' 서강대 남문 옆','정기','F','~10대',3,444.16,5.04,21730,159
'2017-07','612',' 시립동부병원 앞 사거리','정기','F','~10대',6,303.25,2.84,12250,105
'2017-07','613',' 신설동역 10번출구 앞','정기','F','~10대',13,528.24,5.34,23000,162
'2017-07','614',' 용두동 사거리','정기','F','~10대',2,693.69,6.25,26950,159
'2017-07','615',' 용두동 레미안허브리츠아파트 앞','정기','F','~10대',3,113.75,1.11,4780,31
'2017-07','617',' 청솔우성아파트 앞','정기','F','~10대',1,10.05,0.11,470,4
'2017-07','227',' 양평2나들목 보행통로 입구','정기','F','~10대',11,1981.46,17.86,76980,447
'2017-07','228',' 선유도역 3번출구 앞','정기','F','~10대',1,127.83,1.25,5380,40
'2017-07','126',' 서강대 후문 옆','정기','F','~10대',16,650.13,7.07,30380,187
'2017-07','232',' 양평우림 이비즈센타 앞','정기','F','~10대',1,50.25,0.63,2700,26
'2017-07','233',' YP 센터 앞','정기','F','~10대',2,56.25,0.63,2680,16
'2017-07','234',' 영등포구민체육센터 앞','정기','F','~10대',2,90.35,0.81,3510,34
'2017-07','238',' 제2구민체육센타 앞','정기','F','~10대',2,597.17,6.03,26000,120
'2017-07','239',' 유스호스텔 앞','정기','F','~10대',6,589.48,6.06,26100,175
'2017-07','240',' 문래역 4번출구 앞','정기','F','~10대',3,46.8,0.52,2230,20
'2017-07','127',' 현대벤처빌 앞','정기','F','~10대',1,64.25,0.68,2950,19
'2017-07','241',' 신길우성1차아파트 앞 공원','정기','F','~10대',6,450.73,4.1,17700,153
'2017-07','243',' 이앤씨드림타워 앞','정기','F','~10대',1,9.86,0.12,530,4
'2017-07','244',' 영등포삼환아파트 앞','정기','F','~10대',2,376.8,3.86,16610,109
'2017-07','245',' 삼성생명 당산사옥 앞','정기','F','~10대',6,169.12,1.53,6570,33
'2017-07','247',' 당산역 10번출구 앞','정기','F','~10대',6,208.78,1.96,8480,63
'2017-07','248',' 초원아파트 앞','정기','F','~10대',1,300.48,2.51,10840,65
'2017-07','128',' 신촌역(2호선) 1번출구 옆','정기','F','~10대',2,111.09,1.18,5110,31
'2017-07','252',' 보라매역4번출구','정기','F','~10대',3,76.45,0.69,2970,21
'2017-07','253',' 신풍역 5번출구 인근','정기','F','~10대',3,139.83,1.19,5130,41
'2017-07','255',' 도림4거리','정기','F','~10대',1,33.72,0.3,1310,23
'2017-07','256',' 동아에코빌입구','정기','F','~10대',6,197.23,2.32,10030,76
'2017-07','129',' 신촌역(2호선) 6번출구 옆','정기','F','~10대',1,139.49,1.46,6290,44
'2017-07','703',' 오목교역 7번출구 앞','정기','F','~10대',2,111.33,1.04,4500,74
'2017-07','704',' 남부법원검찰청 교차로','정기','F','~10대',1,35.64,0.35,1500,12
'2017-07','706',' 신정네거리역','정기','F','~10대',3,222.93,2.02,8730,77
