'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-10','108',' 서교동 사거리','정기','F','~10대',4,335.95,2.89,12470,100
'2017-10','503',' 더샵스타시티 C동 앞','정기','F','~10대',16,3240.96,36.11,155690,1000
'2017-10','504',' 신자초교입구교차로','정기','F','~10대',1,22.57,0.18,760,8
'2017-10','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',8,780.92,7.07,30510,229
'2017-10','507',' 성수아이에스비즈타워 앞','정기','F','~10대',1,202.19,2.42,10420,57
'2017-10','509',' 이마트 버스정류소 옆','정기','F','~10대',5,482.49,4.83,20810,278
'2017-10','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',4,647.11,6.33,27310,271
'2017-10','511',' 서울숲역 4번 출구 옆','정기','F','~10대',15,1613.77,17.16,73970,1023
'2017-10','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',14,1079.46,10.51,45350,385
'2017-10','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',10,541.62,6.01,25930,201
'2017-10','514',' 성수사거리 버스정류장 앞','정기','F','~10대',12,674.82,7.44,32130,331
'2017-10','515',' 광양중학교 앞','정기','F','~10대',2,127.97,1.05,4530,41
'2017-10','516',' 광진메디칼 앞','정기','F','~10대',3,94.23,0.89,3810,22
'2017-10','300',' 정동사거리','정기','F','~10대',10,830,7.07,30480,369
'2017-10','301',' 경복궁역 7번출구 앞','정기','F','~10대',17,637.98,5.71,24680,304
'2017-10','302',' 경복궁역 4번출구 뒤','정기','F','~10대',6,275.16,2.85,12280,95
'2017-10','303',' 광화문역 1번출구 앞','정기','F','~10대',3,118.12,1.08,4620,46
'2017-10','115',' 사루비아 빌딩 앞','정기','F','~10대',1,114.68,0.84,3620,19
'2017-10','304',' 광화문역 2번출구 앞','정기','F','~10대',5,189.91,1.98,8530,66
'2017-10','305',' 종로구청 옆','정기','F','~10대',2,103.66,1.06,4560,35
'2017-10','306',' 광화문역 7번출구 앞','정기','F','~10대',4,131.79,1.05,4530,32
'2017-10','307',' 서울역사박물관 앞','정기','F','~10대',1,44.91,0.38,1620,11
'2017-10','309',' 광화문역 6번출구 옆','정기','F','~10대',2,23.75,0.25,1090,9
'2017-10','310',' 청계광장 옆','정기','F','~10대',4,288.5,2.7,11610,87
'2017-10','311',' 서울광장 옆','정기','F','~10대',3,168.06,1.46,6280,61
'2017-10','312',' 시청역 1번출구 뒤','정기','F','~10대',2,41.55,0.38,1630,11
'2017-10','313',' 서울역 광장 파출소 옆','정기','F','~10대',13,666.22,5.61,24250,194
'2017-10','314',' 국립현대미술관','정기','F','~10대',4,135.14,1.21,5250,60
'2017-10','315',' 신한은행 안국역지점 옆','정기','F','~10대',30,1434.2,11.88,51130,432
'2017-10','316',' 종각역 1번출구 앞','정기','F','~10대',1,391.13,3.27,14110,64
'2017-10','318',' 광교사거리 남측','정기','F','~10대',4,179.74,1.59,6860,112
'2017-10','320',' 을지로입구역 4번출구 앞','정기','F','~10대',1,105.2,1.12,4830,30
'2017-10','321',' KEB 하나은행 본점 앞','정기','F','~10대',3,60.98,0.65,2800,40
'2017-10','322',' 명동성당 앞','정기','F','~10대',1,33.46,0.3,1300,20
'2017-10','116',' 일진아이윌아파트 옆','정기','F','~10대',9,437.73,4.54,19540,241
'2017-10','324',' 신세계백화점 본점 앞','정기','F','~10대',1,43.34,0.46,1990,23
'2017-10','326',' 안국역 5번출구 앞','정기','F','~10대',18,376.94,3.28,14150,156
'2017-10','327',' 낙원상가 옆','정기','F','~10대',8,109.16,0.95,4060,49
'2017-10','328',' 탑골공원 앞','정기','F','~10대',5,126.8,1.3,5610,58
'2017-10','329',' 청계2가 사거리 옆','정기','F','~10대',1,72.33,0.65,2810,18
'2017-10','331',' 을지로2가 사거리 북측','정기','F','~10대',1,132.85,1.47,6330,36
'2017-10','332',' 을지로2가 사거리 남측','정기','F','~10대',1,93.18,0.84,3620,29
'2017-10','111',' 상수역 2번출구 앞','정기','F','~10대',3,415.41,3.79,16340,140
'2017-10','334',' 종로3가역 2번출구 뒤','정기','F','~10대',5,160.91,1.43,6160,104
'2017-10','335',' 종로3가역 15번출구 앞','정기','F','~10대',3,93.8,0.88,3800,36
'2017-10','336',' 티마크 호텔 앞','정기','F','~10대',2,142.53,1.53,6580,49
'2017-10','337',' 창경궁 입구','정기','F','~10대',6,122.97,1.22,5230,30
'2017-10','338',' 세운스퀘어 앞','정기','F','~10대',4,62.44,0.59,2570,68
'2017-10','339',' 종로4가 사거리','정기','F','~10대',4,64.38,0.57,2450,20
'2017-10','340',' 혜화동 로터리','정기','F','~10대',20,755.79,7.68,33070,250
'2017-10','341',' 혜화역 3번출구 뒤','정기','F','~10대',21,774.8,7.58,32700,294
'2017-10','342',' 대학로 마로니에공원','정기','F','~10대',27,731.63,6.41,27660,282
'2017-10','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',14,302.82,3.1,13410,100
'2017-10','112',' 극동방송국 앞','정기','F','~10대',3,241.63,2.17,9360,159
'2017-10','344',' 성균관대 E하우스 앞','정기','F','~10대',15,620.44,6.07,26190,188
'2017-10','345',' 서울보증보험본사 앞','정기','F','~10대',4,77.06,0.75,3240,27
'2017-10','346',' 맥스타일 앞','정기','F','~10대',13,633.37,6.57,28300,234
'2017-10','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',6,180.37,2.02,8670,82
'2017-10','349',' 사직동주민센터','정기','F','~10대',24,868.61,9.56,41300,340
'2017-10','352',' 중앙고입구 삼거리','정기','F','~10대',3,119.82,1.11,4780,44
'2017-10','353',' 재동초교 앞 삼거리','정기','F','~10대',5,257.65,2.51,10790,109
