'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-04','503',' 더샵스타시티 C동 앞','정기','F','~10대',1,27.8,0.25,1080,7
'2017-04','504',' 신자초교입구교차로','정기','F','~10대',1,39.9,0.36,1550,11
'2017-04','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',3,50.94,0.5,2180,530
'2017-04','507',' 성수아이에스비즈타워 앞','정기','F','~10대',3,160.86,1.57,6770,54
'2017-04','509',' 이마트 버스정류소 옆','정기','F','~10대',1,45.86,0.45,1930,14
'2017-04','511',' 서울숲역 4번 출구 옆','정기','F','~10대',2,151.17,1.46,6310,59
'2017-04','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',2,170.87,2,8630,43
'2017-04','514',' 성수사거리 버스정류장 앞','정기','F','~10대',1,74.51,0.78,3360,12
'2017-04','515',' 광양중학교 앞','정기','F','~10대',1,146.55,1.79,7710,69
'2017-04','516',' 광진메디칼 앞','정기','F','~10대',1,57.02,0.67,2880,16
'2017-04','301',' 경복궁역 7번출구 앞','정기','F','~10대',14,533.07,4.79,20710,110
'2017-04','302',' 경복궁역 4번출구 뒤','정기','F','~10대',2,79.54,0.71,3090,24
'2017-04','303',' 광화문역 1번출구 앞','정기','F','~10대',1,26.61,0.28,1200,17
'2017-04','115',' 사루비아 빌딩 앞','정기','F','~10대',2,103.61,1.06,4590,26
'2017-04','309',' 광화문역 6번출구 옆','정기','F','~10대',1,42.36,0.44,1910,8
'2017-04','310',' 청계광장 옆','정기','F','~10대',29,821.85,8.52,36880,327
'2017-04','311',' 서울광장 옆','정기','F','~10대',3,117.63,1.06,4570,29
'2017-04','312',' 시청역 1번출구 뒤','정기','F','~10대',1,50.97,0.46,1980,13
'2017-04','313',' 서울역 광장 파출소 옆','정기','F','~10대',2,95.35,0.99,4300,30
'2017-04','110',' 사천교','정기','F','~10대',1,17.83,0.18,790,4
'2017-04','314',' 국립현대미술관','정기','F','~10대',1,145.95,1.32,5670,39
'2017-04','315',' 신한은행 안국역지점 옆','정기','F','~10대',19,1098.66,9.31,40130,267
'2017-04','316',' 종각역 1번출구 앞','정기','F','~10대',1,102.21,1.03,4450,55
'2017-04','318',' 광교사거리 남측','정기','F','~10대',1,44.27,0.4,1720,11
'2017-04','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,105.79,0.95,4110,29
'2017-04','326',' 안국역 5번출구 앞','정기','F','~10대',7,245.12,2.44,10550,64
'2017-04','329',' 청계2가 사거리 옆','정기','F','~10대',2,192.16,1.77,7630,35
'2017-04','330',' 청계천 한빛광장','정기','F','~10대',2,59.97,0.54,2330,15
'2017-04','334',' 종로3가역 2번출구 뒤','정기','F','~10대',3,78.65,0.84,3600,27
'2017-04','335',' 종로3가역 15번출구 앞','정기','F','~10대',2,46.78,0.56,2410,15
