'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-02','503',' 더샵스타시티 C동 앞','정기','F','~10대',2,381.98,3.45,14840,109
'2017-02','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',1,29.17,0.29,1270,11
'2017-02','511',' 서울숲역 4번 출구 옆','정기','F','~10대',1,111.95,1.19,5140,51
'2017-02','304',' 광화문역 2번출구 앞','정기','F','~10대',1,64.75,0.76,3270,44
'2017-02','309',' 광화문역 6번출구 옆','정기','F','~10대',2,62.72,0.67,2880,15
'2017-02','313',' 서울역 광장 파출소 옆','정기','F','~10대',1,213.11,2.23,9610,42
'2017-02','110',' 사천교','정기','F','~10대',5,417.26,3.25,13990,126
'2017-02','316',' 종각역 1번출구 앞','정기','F','~10대',2,35.78,0.32,1390,16
'2017-02','318',' 광교사거리 남측','정기','F','~10대',1,20.39,0.24,1030,16
'2017-02','111',' 상수역 2번출구 앞','정기','F','~10대',1,17.46,0.21,900,7
'2017-02','335',' 종로3가역 15번출구 앞','정기','F','~10대',2,108.96,1.09,4670,41
'2017-02','339',' 종로4가 사거리','정기','F','~10대',1,11.4,0.14,600,5
'2017-02','340',' 혜화동 로터리','정기','F','~10대',1,53.66,0.63,2710,19
'2017-02','341',' 혜화역 3번출구 뒤','정기','F','~10대',1,28.57,0.26,1110,10
'2017-02','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',1,30.65,0.5,2150,25
'2017-02','349',' 사직동주민센터','정기','F','~10대',2,134.48,1.32,5660,83
'2017-02','353',' 재동초교 앞 삼거리','정기','F','~10대',2,108.51,1.27,5480,37
'2017-02','117',' 홍은사거리','정기','F','~10대',1,291.34,2.44,10510,56
'2017-02','356',' KT혜화지사 앞','정기','F','~10대',1,9.31,0.11,490,1
'2017-02','358',' 성대입구 사거리','정기','F','~10대',1,23.68,0.21,920,7
'2017-02','359',' 원남동사거리','정기','F','~10대',12,399.9,4.22,18180,132
'2017-02','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',2,126.41,1.06,4560,38
'2017-02','113',' 홍대입구역 2번출구 앞','정기','F','~10대',8,674.34,6.59,28370,185
'2017-02','348',' 독립문역 사거리','정기','F','~10대',1,90.92,0.95,4100,20
'2017-02','381',' 장충체육관','정기','F','~10대',1,48.15,0.35,1520,11
'2017-02','114',' 홍대입구역 8번출구 앞','정기','F','~10대',1,27.17,0.32,1400,36
'2017-02','144',' 공덕역 8번출구','정기','F','~10대',1,26.2,0.31,1350,7
'2017-02','158',' 독립문 어린이 공원','정기','F','~10대',14,1760.11,18.42,79370,378
'2017-02','159',' 이대역 4번 출구','정기','F','~10대',1,27.05,0.28,1220,10
'2017-02','161',' 무악재역1번 출구','정기','F','~10대',1,226.2,2.37,10200,46
'2017-02','162',' 봉원고가차도 밑','정기','F','~10대',1,43.02,0.45,1940,10
'2017-02','169',' 북가좌 삼거리','정기','F','~10대',4,493.64,4.2,18110,132
'2017-02','170',' 가재울 뉴타운 주유소 옆','정기','F','~10대',6,361.39,3.26,14040,107
'2017-02','173',' 서대문역 8번출구 앞','정기','F','~10대',1,71.63,0.75,3230,13
'2017-02','518',' 청계천 박물관 앞','정기','F','~10대',1,154.4,1.29,5570,28
'2017-02','523',' 옥수동성당 옆','정기','F','~10대',2,418.24,4.37,18860,81
'2017-02','122',' 신성기사식당 앞','정기','F','~10대',8,350.04,4.17,18040,203
'2017-02','525',' 한양대병원사거리','정기','F','~10대',2,78.84,0.84,3620,28
'2017-02','529',' 장한평역 8번 출구 앞','정기','F','~10대',1,88.43,0.94,4060,34
'2017-02','534',' 금호사거리','정기','F','~10대',1,65.26,0.48,2060,58
'2017-02','535',' 응봉삼거리','정기','F','~10대',2,74.45,0.54,2350,18
'2017-02','123',' 문화촌 공원','정기','F','~10대',1,22.73,0.19,820,21
'2017-02','540',' 군자역 7번출구 베스트샵 앞','정기','F','~10대',1,44.35,0.52,2240,20
'2017-02','542',' 강변역 4번출구 뒤','정기','F','~10대',1,49.42,0.48,2080,15
'2017-02','544',' 광남중학교','정기','F','~10대',2,153.19,1.54,6670,60
'2017-02','548',' 자양나들목','정기','F','~10대',1,287.26,2.59,11160,54
'2017-02','549',' 아차산역 3번출구','정기','F','~10대',1,27.8,0.27,1170,9
'2017-02','602',' 장안동 사거리','정기','F','~10대',2,123.7,1.28,5480,41
'2017-02','125',' 서강대 남문 옆','정기','F','~10대',2,64.81,0.77,3340,30
'2017-02','227',' 양평2나들목 보행통로 입구','정기','F','~10대',19,2836.02,25.55,110180,606
'2017-02','228',' 선유도역 3번출구 앞','정기','F','~10대',6,418.97,3.73,16090,121
'2017-02','126',' 서강대 후문 옆','정기','F','~10대',4,84.99,1.02,4380,31
'2017-02','237',' 보라매 두산위브 건너편','정기','F','~10대',2,334.33,3.56,15350,90
'2017-02','239',' 유스호스텔 앞','정기','F','~10대',1,277.75,2.32,10020,61
'2017-02','240',' 문래역 4번출구 앞','정기','F','~10대',2,44.27,0.49,2150,17
'2017-02','242',' 신길선원가와인아파트 앞','정기','F','~10대',9,1424.97,12.85,55360,254
'2017-02','250',' 대림아파트 사거리','정기','F','~10대',1,39.64,0.42,1820,12
'2017-02','128',' 신촌역(2호선) 1번출구 옆','정기','F','~10대',1,94.69,0.99,4270,21
'2017-02','256',' 동아에코빌입구','정기','F','~10대',6,191.52,2.39,10290,86
'2017-02','257',' 신길삼거리(우리은행)','정기','F','~10대',2,129.91,1.62,6980,47
'2017-02','259',' 대방역6번출구','정기','F','~10대',2,720.7,7.68,33090,137
'2017-02','129',' 신촌역(2호선) 6번출구 옆','정기','F','~10대',1,4.46,0.05,230,3
'2017-02','707',' 신정3동주민센터','정기','F','~10대',1,201.25,2.14,9240,58
'2017-02','710',' 서부화물트럭터미널 사거리','정기','F','~10대',9,164.44,2,8650,40
'2017-02','712',' 강월초교입구 사거리','정기','F','~10대',2,35.55,0.44,1870,8
'2017-02','130',' 신촌역(2호선) 7번출구 앞','정기','F','~10대',4,62.25,0.61,2630,33
'2017-02','805',' 문배어린이공원 앞','정기','F','~10대',5,103.13,1.03,4490,51
'2017-02','807',' 서울역 12번 출구 앞','정기','F','~10대',1,46.63,0.47,2030,30
'2017-02','131',' 증산2교','정기','F','~10대',1,42.73,0.39,1660,9
