'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-12','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',5,207.77,1.87,8030,83
'2017-12','1031',' 암사동 CBIS','정기','F','~10대',8,1510.95,15,64670,85
'2017-12','1032',' 선사고등학교','정기','F','~10대',5,187.49,1.68,7280,40
'2017-12','1033',' 고덕동 아남아파트','정기','F','~10대',3,81.6,0.75,3250,15
'2017-12','1037',' 강일 6단지','정기','F','~10대',1,13.72,0.15,630,7
'2017-12','1257',' 가락시장역 롯데마트앞','정기','F','~10대',1,79.55,0.86,3720,31
'2017-12','1259',' 방이역 1번출구','정기','F','~10대',2,118.55,1.3,5610,42
'2017-12','1267',' 올림픽공원 남2문 앞','정기','F','~10대',3,158.3,1.43,6150,227
'2017-12','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',2,141.31,1.28,5490,25
'2017-12','1442',' (구)신한은행 중랑교지점','정기','F','~10대',2,33.43,0.49,2110,20
'2017-12','1443',' 구립망우청소년독서실','정기','F','~10대',1,49.66,0.53,2280,56
'2017-12','1448',' 코스트코 상봉점','정기','F','~10대',3,417.64,3.92,16880,117
'2017-12','109',' 제일빌딩 앞','정기','F','~10대',1,38.35,0.35,1490,13
'2017-12','1527',' 미아역 1번 출구 뒤','정기','F','~10대',1,12.06,0.08,350,2
'2017-12','1528',' 삼각산동 주민센터','정기','F','~10대',2,131.15,1.33,5710,34
'2017-12','1650',' 중계근린공원내','정기','F','~10대',1,112.88,1.18,5090,32
'2017-12','514',' 성수사거리 버스정류장 앞','정기','F','~10대',4,69.44,0.75,3230,16
'2017-12','1656',' 중앙하이츠 아파트 입구','정기','F','~10대',1,76.71,0.69,2980,30
'2017-12','300',' 정동사거리','정기','F','~10대',7,401.37,3.35,14480,72
'2017-12','301',' 경복궁역 7번출구 앞','정기','F','~10대',5,123.97,1.24,5330,34
'2017-12','2368',' 도곡동 경남아파트 건너편','정기','F','~10대',2,583.2,5.51,23730,130
'2017-12','302',' 경복궁역 4번출구 뒤','정기','F','~10대',2,106.08,0.99,4250,48
'2017-12','2372',' 대치역 사거리','정기','F','~10대',3,236.12,2.58,11130,70
'2017-12','2373',' 개포동역 사거리','정기','F','~10대',3,80.52,0.77,3320,34
'2017-12','2377',' 수서역 5번출구 뒤','정기','F','~10대',1,72.28,0.78,3380,27
'2017-12','303',' 광화문역 1번출구 앞','정기','F','~10대',1,109.77,0.97,4200,19
'2017-12','3508',' 화양사거리','정기','F','~10대',1,12.87,0.12,500,3
'2017-12','3513',' 상왕십리역 1번출구','정기','F','~10대',1,102.88,1,4330,24
'2017-12','115',' 사루비아 빌딩 앞','정기','F','~10대',1,8.87,0.06,280,3
'2017-12','304',' 광화문역 2번출구 앞','정기','F','~10대',7,116.21,1.21,5240,48
'2017-12','1336',' 성북3교 위','정기','F','~10대',2,168.1,1.97,8490,82
'2017-12','1337',' 돈암성당 옆','정기','F','~10대',2,52.3,0.59,2540,21
'2017-12','1338',' 용문2교 옆','정기','F','~10대',1,177.69,1.49,6410,34
'2017-12','1956',' 도야미리숫불갈비 앞','정기','F','~10대',1,21.19,0.25,1070,8
'2017-12','306',' 광화문역 7번출구 앞','정기','F','~10대',1,15.03,0.17,730,6
'2017-12','1961',' 신도림테크노근린공원','정기','F','~10대',1,42.57,0.5,2150,12
'2017-12','307',' 서울역사박물관 앞','정기','F','~10대',2,142.21,1.06,4540,37
'2017-12','1975',' 대림역 1번 출입구 밑','정기','F','~10대',1,47.72,0.56,2410,13
'2017-12','310',' 청계광장 옆','정기','F','~10대',2,111.51,0.92,3990,25
'2017-12','311',' 서울광장 옆','정기','F','~10대',4,127.16,1.14,4940,38
'2017-12','312',' 시청역 1번출구 뒤','정기','F','~10대',3,32.21,0.24,1070,7
'2017-12','313',' 서울역 광장 파출소 옆','정기','F','~10대',11,453.21,3.83,16540,107
'2017-12','314',' 국립현대미술관','정기','F','~10대',7,76.64,0.85,3630,32
'2017-12','315',' 신한은행 안국역지점 옆','정기','F','~10대',7,114.46,1.26,5400,119
'2017-12','316',' 종각역 1번출구 앞','정기','F','~10대',1,14.19,0.15,640,6
'2017-12','116',' 일진아이윌아파트 옆','정기','F','~10대',2,368.96,3.64,15700,90
'2017-12','328',' 탑골공원 앞','정기','F','~10대',1,168.84,1.5,6460,26
'2017-12','332',' 을지로2가 사거리 남측','정기','F','~10대',1,1552.64,13.99,60320,31
'2017-12','335',' 종로3가역 15번출구 앞','정기','F','~10대',1,22.05,0.27,1160,8
'2017-12','336',' 티마크 호텔 앞','정기','F','~10대',2,188.22,1.58,6790,48
'2017-12','339',' 종로4가 사거리','정기','F','~10대',5,147.39,1.46,6270,51
'2017-12','341',' 혜화역 3번출구 뒤','정기','F','~10대',3,85.54,0.95,4120,44
'2017-12','342',' 대학로 마로니에공원','정기','F','~10대',3,63.33,0.58,2460,14
'2017-12','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',2,26.77,0.24,1040,8
'2017-12','344',' 성균관대 E하우스 앞','정기','F','~10대',4,136.01,1.27,5520,28
'2017-12','346',' 맥스타일 앞','정기','F','~10대',12,541.34,5.46,23570,126
'2017-12','349',' 사직동주민센터','정기','F','~10대',10,296.32,3.02,12990,113
'2017-12','117',' 홍은사거리','정기','F','~10대',5,583.49,4.53,19520,84
'2017-12','355',' 서울사대부속초교 앞','정기','F','~10대',3,49.38,0.45,1960,14
'2017-12','356',' KT혜화지사 앞','정기','F','~10대',1,11.11,0.12,510,3
'2017-12','358',' 성대입구 사거리','정기','F','~10대',40,983.99,9.42,40640,240
'2017-12','359',' 원남동사거리','정기','F','~10대',29,634.48,5.95,25560,166
'2017-12','364',' 창신역 1번출구 앞','정기','F','~10대',1,100.98,0.99,4250,33
'2017-12','113',' 홍대입구역 2번출구 앞','정기','F','~10대',10,757.26,7.47,32200,270
'2017-12','368',' SK 서린빌딩 앞','정기','F','~10대',3,313.63,3.07,13200,94
'2017-12','371',' 동대입구역 6번출구 뒤','정기','F','~10대',2,32.17,0.29,1250,17
'2017-12','118',' 광흥창역 2번출구 앞','정기','F','~10대',2,257.92,3.05,13170,99
'2017-12','375',' 다산 어린이공원','정기','F','~10대',2,59.72,0.54,2320,13
'2017-12','383',' 신당역 12번 출구 뒤','정기','F','~10대',8,951,11.37,49010,120
'2017-12','384',' 종로학원본원 ','정기','F','~10대',3,51.48,0.46,2000,17
'2017-12','114',' 홍대입구역 8번출구 앞','정기','F','~10대',1,132.95,1.37,5890,30
'2017-12','144',' 공덕역 8번출구','정기','F','~10대',7,181.84,2.02,8700,64
'2017-12','148',' 용강동 주민센터 앞','정기','F','~10대',1,113.29,1.38,5960,116
'2017-12','150',' 서강대역 2번출구 앞','정기','F','~10대',18,257.38,3.17,13620,96
'2017-12','152',' 마포구민체육센터 앞','정기','F','~10대',2,205.3,2.43,10470,98
'2017-12','119',' 서강나루 공원','정기','F','~10대',1,30.7,0.32,1360,6
'2017-12','155',' 가좌역1 번출구 뒤','정기','F','~10대',1,47.1,0.42,1830,9
'2017-12','156',' 서울서부지방법원 앞','정기','F','~10대',1,113.03,0.91,3910,26
'2017-12','158',' 독립문 어린이 공원','정기','F','~10대',11,1167.75,10.36,44680,240
'2017-12','161',' 무악재역1번 출구','정기','F','~10대',6,657.43,4.29,18520,93
'2017-12','162',' 봉원고가차도 밑','정기','F','~10대',1,44.43,0.39,1700,8
'2017-12','120',' 신수동 사거리','정기','F','~10대',2,95.7,0.98,4240,29
'2017-12','164',' 북가좌1동 주민센터 ','정기','F','~10대',8,345.91,4.06,17470,117
'2017-12','166',' 가재울 초등학교','정기','F','~10대',1,53.19,0.34,1460,13
'2017-12','169',' 북가좌 삼거리','정기','F','~10대',2,105,1.07,4640,30
'2017-12','171',' 임광빌딩 앞','정기','F','~10대',2,82.44,0.73,3160,16
'2017-12','173',' 서대문역 8번출구 앞','정기','F','~10대',3,93.69,0.78,3380,15
'2017-12','175',' 홍연2교옆','정기','F','~10대',9,944.58,7.66,33020,232
'2017-12','179',' 가좌역 4번출구 앞','정기','F','~10대',11,542.1,5.78,24890,126
'2017-12','518',' 청계천 박물관 앞','정기','F','~10대',3,101.16,1.01,4330,30
'2017-12','122',' 신성기사식당 앞','정기','F','~10대',4,224.99,2.58,11140,175
'2017-12','525',' 한양대병원사거리','정기','F','~10대',1,26.79,0.29,1230,12
'2017-12','530',' 청계벽산아파트 앞','정기','F','~10대',5,200.75,2.03,8740,46
'2017-12','535',' 응봉삼거리','정기','F','~10대',1,40.67,0.37,1580,9
'2017-12','123',' 문화촌 공원','정기','F','~10대',1,328.7,2.96,12770,55
'2017-12','539',' 군자교교차로','정기','F','~10대',1,11.94,0.12,520,4
'2017-12','542',' 강변역 4번출구 뒤','정기','F','~10대',2,184.42,1.89,8170,30
'2017-12','544',' 광남중학교','정기','F','~10대',5,619.85,6.15,26530,158
'2017-12','548',' 자양나들목','정기','F','~10대',2,17.5,0.16,680,5
'2017-12','549',' 아차산역 3번출구','정기','F','~10대',13,438.2,4.27,18340,170
'2017-12','124',' 서강대 정문 건너편','정기','F','~10대',3,18.54,0.24,1040,5
'2017-12','125',' 서강대 남문 옆','정기','F','~10대',2,99.08,1.16,4980,35
'2017-12','612',' 시립동부병원 앞 사거리','정기','F','~10대',1,12.4,0.13,540,5
'2017-12','614',' 용두동 사거리','정기','F','~10대',2,60.51,0.6,2590,16
'2017-12','616',' 서울시립대 앞','정기','F','~10대',6,112.18,1.17,5030,26
'2017-12','126',' 서강대 후문 옆','정기','F','~10대',5,131.32,1.57,6750,74
'2017-12','237',' 보라매 두산위브 건너편','정기','F','~10대',8,603.49,6.81,29290,215
